,BAJAMAQ_B,BAJAMAQ_C,BAJARVAG,BAJARMAQ,BAJAMAQ_D,BAJAVAG_D,BAJAVAG_C,BAJAVAG_B,BAJARBAR_C,SALETREN_C,SALETREN_D,SALETREN_A,SALETREN_B,SUBIRVAG,SUBIR_GENTE_VAG,BAJAR_GENTE_VAG,LEVANTABAR_A,LLEGATREN_A,LLEGATREN_B,LLEGATREN_C,LLEGAGENTE_A,LLEGAGENTE_B,LLEGAGENTE_C,LLEGAGENTE_D,SUBEMAQ_B,SUBEVAG_B,SUBEVAG_C,SUBEMAQ_D,SUBEVAG_D,LLEGA_AUTO_A,10SEG_A,10SEG_B,SUBEMAQ_C,10SEG_C,10SEG_D,LLEGA_AUTO_B,LEVANTARBAR_C,SUBIRMAQ,LLENO_C,!GENTE_A,!GENTE_B,LLENO_D,LLENO_A,SUBIR_GENTE_MAQ,LLENO_B,LLEGATREN_D,!GENTE_C,BAJABAR_A,!GENTE_D,AUTO_SE_VA_B,BAJAR_GENTE_MAQ,AUTO_SE_VA_A,AUTO_CRUZA_A,AUTO_CRUZA_B
BAJAMAQ_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAMAQ_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJARVAG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJARMAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAMAQ_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAVAG_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAVAG_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJAVAG_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJARBAR_C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALETREN_C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
