,AUTO_CRUZA_A,BAJARBAR_C,SALETREN_C,SALETREN_D,SALETREN_A,BAJARVAG,SALETREN_B,SUBIRVAG,SUBIR_GENTE_VAG,AUTO_CRUZA_B,BAJAR_GENTE_VAG,LEVANTABAR_A,LLEGATREN_A,LLEGATREN_B,LLEGATREN_C,LLEGAGENTE_A,LLEGAGENTE_B,LLEGAGENTE_C,LLEGAGENTE_D,SUBEMAQ_B,SUBEVAG_B,SUBEVAG_C,SUBEMAQ_D,SUBEVAG_D,LLEGA_AUTO_A,10SEG_A,10SEG_B,SUBEMAQ_C,10SEG_C,10SEG_D,LLEGA_AUTO_B,LEVANTARBAR_C,BAJARMAQ,BAJAMAQ_D,BAJAVAG_D,BAJAVAG_C,BAJAVAG_B,SUBIRMAQ,BAJAMAQ_B,BAJAMAQ_C,LLENO_C,!GENTE_A,!GENTE_B,LLENO_D,LLENO_A,SUBIR_GENTE_MAQ,LLENO_B,LLEGATREN_D,!GENTE_C,BAJABAR_A,!GENTE_D,AUTO_SE_VA_B,BAJAR_GENTE_MAQ,AUTO_SE_VA_A
NOHAYTREN_B,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAGON,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOHAYTREN_A,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOHAYTREN_D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
AUTOS_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NOHAYTREN_C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOS_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TREN_PASONIVEL_B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTOS_A_1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_SEG_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
